,Name,Price,Mileage,Condition,Year,locations
4964,Audi Q7,"₦ 5,685,000","201,050 km",Foreign Used,2008,"Festac, Lagos"
4965,Lexus RX 350,"₦ 5,115,000","118,888 km",Foreign Used,2007,"Festac, Lagos"
4966,Lexus RX 350,"₦ 7,765,000","137,471 km",Foreign Used,2010,"Festac, Lagos"
4967,Mercedes-Benz C 300,"₦ 5,315,000","857,506 km",Foreign Used,2010,"Festac, Lagos"
4968,Lexus ES 350,"₦ 50,015,000","72,443 km",Foreign Used,2011,"Festac, Lagos"
4969,Toyota Highlander,"₦ 5,015,000","68,453 km",Foreign Used,2013,"Festac, Lagos"
4970,Lexus RX 330,"₦ 7,115,000","57,451 km",Foreign Used,2004,"Festac, Lagos"
4971,Mercedes-Benz GLK 350,"₦ 4,815,000","165,901 km",Foreign Used,2012,"Festac, Lagos"
4972,Toyota Sienna,"₦ 8,265,000","68,208 km",Foreign Used,2012,"Festac, Lagos"
4973,Lexus RX 350,"₦ 8,265,000","203,162 km",Foreign Used,2010,"Festac, Lagos"
4974,Lexus RX 350,"₦ 10,725,000","68,204 mi",Foreign Used,2013,"Festac, Lagos"
4975,Mercedes-Benz ML 350,"₦ 11,315,000","243,717 km",Foreign Used,2012,"Berger Mkt, Lagos"
4976,Toyota RAV 4,"₦ 8,015,000","83,554 km",Foreign Used,2013,"Ikate, Lekki, Lagos"
4977,Toyota Corolla,"₦ 7,015,000","63,380 km",Foreign Used,2016,"Ikate, Lekki, Lagos"
4978,Hyundai Santa Fe,"₦ 8,515,000","146,372 km",Foreign Used,2013,"Ikate, Lekki, Lagos"
4979,Lexus ES 350,"₦ 9,015,000","98,219 km",Foreign Used,2013,"Ikate, Lekki, Lagos"
4980,Toyota Highlander,"₦ 13,515,000","48,415 km",Foreign Used,2016,"Ikate, Lekki, Lagos"
4981,Mercedes-Benz C 300,"₦ 13,015,000","91,406 km",Foreign Used,2014,"Ikate, Lekki, Lagos"
4982,Mercedes-Benz C 300,"₦ 13,015,000","48,013 km",Foreign Used,2015,"Ikate, Lekki, Lagos"
4983,Toyota Camry,"₦ 5,015,000","72,283 km",Foreign Used,2012,"Kubwa Express, Abuja"
4984,Lexus LX 570,"₦ 30,015,000","35,751 km",Foreign Used,2011,"Jahi, Abuja"
4985,Toyota Landcruiser Prado,"₦ 14,515,000","52,310 km",Foreign Used,2011,"Jahi, Abuja"
4986,Pontiac Vibe,"₦ 2,515,000","193,892 km",Foreign Used,2006,"Gwarinpa, Abuja"
4987,Toyota Camry,"₦ 2,797,500","282,613 km",Foreign Used,2006,"Lagos, Lagos"
4988,Toyota Corolla,"₦ 6,515,000","71,584 km",Foreign Used,2015,"Ikate, Lekki, Lagos"
4989,Toyota Camry,"₦ 5,680,000","112,019 km",Foreign Used,2012,"Lagos, Lagos"
4990,Toyota Camry,"₦ 8,770,000","98,697 km",Foreign Used,2015,"Lagos, Lagos"
4991,Toyota Highlander,"₦ 9,285,000","106,800 km",Foreign Used,2013,"Lagos, Lagos"
4992,Lexus LX 570,"₦ 6,215,000","21,204 km",Foreign Used,2018,"Ikate, Lekki, Lagos"
4993,Toyota Camry,"₦ 9,315,000","140,309 km",Foreign Used,2013,"Ikorodu, Lagos"
4994,Toyota Venza,"₦ 4,765,000","172,709 km",Foreign Used,2013,"Ipaja, Lagos"
4995,Mercedes-Benz C 350,"₦ 8,265,000","114,936 km",Foreign Used,2010,"New road, Lekki, Lagos"
4996,Toyota Lexus RX 450h,"₦ 8,265,000","77,012 mi",Foreign Used,2012,"New road, Lekki, Lagos"
4997,Toyota Venza,"₦ 7,615,000","96,091 km",Foreign Used,2013,"Festac, Lagos"
4998,Toyota Camry,"₦ 3,515,000","75,422 km",Foreign Used,2009,"Gwarinpa, Abuja"
4999,Acura MDX,"₦ 4,215,000","221,505 km",Foreign Used,2009,"Surulere, Lagos"
5000,Toyota Camry,"₦ 4,865,000","176,996 km",Foreign Used,2012,"Surulere, Lagos"
5001,Toyota Highlander,"₦ 8,815,000","74,479 km",Foreign Used,2013,"Surulere, Lagos"
5002,Toyota Camry,"₦ 4,865,000","72,308 mi",Foreign Used,2010,"Gwarinpa, Abuja"
5003,Toyota Corolla,"₦ 2,815,000","134,462 km",Foreign Used,2008,"Gwarinpa, Abuja"
5004,Toyota Highlander,"₦ 15,015,000","20,820 km",Foreign Used,2016,"Anthony, Lagos"
5005,Toyota Prado,"₦ 25,015,000","69,601 km",Locally Used,2012,"Anthony, Lagos"
5006,Kia Forte,"₦ 3,515,000","82,310 km",Foreign Used,2010,"Gwarinpa, Abuja"
5007,Lexus GX 470,"₦ 5,815,000","155,601 mi",Foreign Used,2005,"Festac, Lagos"
5008,Lexus LX 570,"₦ 42,515,000","31,504 km",Locally Used,2017,"Lagos, Lagos"
5009,Lexus ES 350,"₦ 4,415,000","370,921 km",Foreign Used,2007,"Festac, Lagos"
5010,Lexus ES 350,"₦ 4,645,000","194,550 km",Foreign Used,2008,"Festac, Lagos"
5011,Toyota Sienna,"₦ 5,515,000","68,326 km",Foreign Used,2011,"Festac, Lagos"
5012,Audi Q7,"₦ 5,685,000","201,050 km",Foreign Used,2008,"Festac, Lagos"
5013,Lexus RX 350,"₦ 5,115,000","118,888 km",Foreign Used,2007,"Festac, Lagos"
5014,Lexus RX 350,"₦ 7,765,000","137,471 km",Foreign Used,2010,"Festac, Lagos"
5015,Mercedes-Benz C 300,"₦ 5,315,000","857,506 km",Foreign Used,2010,"Festac, Lagos"
5016,Lexus ES 350,"₦ 50,015,000","72,443 km",Foreign Used,2011,"Festac, Lagos"
5017,Toyota Highlander,"₦ 5,015,000","68,453 km",Foreign Used,2013,"Festac, Lagos"
5018,Lexus RX 330,"₦ 7,115,000","57,451 km",Foreign Used,2004,"Festac, Lagos"
5019,Mercedes-Benz GLK 350,"₦ 4,815,000","165,901 km",Foreign Used,2012,"Festac, Lagos"
5020,Toyota Sienna,"₦ 8,515,000","68,208 km",Foreign Used,2012,"Festac, Lagos"
5021,Lexus RX 350,"₦ 7,615,000","203,162 km",Foreign Used,2010,"Festac, Lagos"
5022,Lexus RX 350,"₦ 10,725,000","68,204 mi",Foreign Used,2013,"Festac, Lagos"
5023,Mercedes-Benz ML 350,"₦ 11,315,000","243,717 km",Foreign Used,2012,"Berger Mkt, Lagos"
5024,Toyota RAV 4,"₦ 8,015,000","83,554 km",Foreign Used,2013,"Ikate, Lekki, Lagos"
5025,Toyota Corolla,"₦ 7,015,000","63,380 km",Foreign Used,2016,"Ikate, Lekki, Lagos"
5026,Hyundai Santa Fe,"₦ 8,515,000","146,372 km",Foreign Used,2013,"Ikate, Lekki, Lagos"
5027,Lexus ES 350,"₦ 9,015,000","98,219 km",Foreign Used,2013,"Ikate, Lekki, Lagos"
5028,Toyota Highlander,"₦ 13,515,000","48,415 km",Foreign Used,2016,"Ikate, Lekki, Lagos"
5029,Mercedes-Benz C 300,"₦ 13,015,000","91,406 km",Foreign Used,2014,"Ikate, Lekki, Lagos"
5030,Mercedes-Benz C 300,"₦ 13,015,000","48,013 km",Foreign Used,2015,"Ikate, Lekki, Lagos"
5031,Toyota Camry,"₦ 5,015,000","72,283 km",Foreign Used,2012,"Kubwa Express, Abuja"
5032,Lexus LX 570,"₦ 30,015,000","35,751 km",Foreign Used,2011,"Jahi, Abuja"
